Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Benton,53005,2010,25-29,"6,097","2,866","1,511","1,355","2,688","1,427","1,261",35,14,21,52,27,25,23,11,12,7,6,1,61,26,35,"9,106","4,586","4,520","8,326","4,214","4,112",164,106,58,83,45,38,285,117,168,16,9,7,232,95,137
Benton,53005,2010,30-34,"5,570","2,498","1,266","1,232","2,316","1,167","1,149",36,16,20,55,35,20,25,16,9,5,2,3,61,30,31,"8,568","4,304","4,264","7,720","3,896","3,824",155,89,66,74,30,44,377,176,201,14,9,5,228,104,124
Benton,53005,2010,35-39,"5,362","2,242","1,143","1,099","2,098","1,082","1,016",28,5,23,55,26,29,16,8,8,4,2,2,41,20,21,"8,430","4,219","4,211","7,602","3,808","3,794",172,104,68,87,40,47,410,195,215,11,6,5,148,66,82
Benton,53005,2010,40-44,"5,455","1,882",940,942,"1,761",879,882,18,8,10,41,25,16,24,9,15,4,2,2,34,17,17,"9,180","4,515","4,665","8,371","4,096","4,275",131,77,54,101,56,45,384,197,187,17,9,8,176,80,96
Benton,53005,2010,45-49,"6,119","1,454",720,734,"1,356",666,690,14,4,10,33,18,15,9,4,5,4,3,1,38,25,13,"10,989","5,399","5,590","10,204","5,019","5,185",144,86,58,111,55,56,392,176,216,10,4,6,128,59,69
Benton,53005,2010,50-54,"6,323","1,206",649,557,"1,123",606,517,11,7,4,35,17,18,8,3,5,2,2,0,27,14,13,"11,418","5,674","5,744","10,703","5,329","5,374",107,68,39,94,42,52,349,148,201,15,7,8,150,80,70
Benton,53005,2010,55-59,"5,913",829,418,411,774,386,388,8,3,5,28,16,12,5,4,1,1,1,0,13,8,5,"10,930","5,495","5,435","10,329","5,204","5,125",99,56,43,87,49,38,280,117,163,11,5,6,124,64,60
Benton,53005,2010,60-64,"4,858",534,262,272,509,252,257,3,3,0,13,4,9,4,1,3,0,0,0,5,2,3,"9,088","4,596","4,492","8,525","4,339","4,186",91,45,46,75,42,33,294,124,170,9,6,3,94,40,54
Benton,53005,2010,65-69,"3,332",350,174,176,331,162,169,4,2,2,8,5,3,2,2,0,1,0,1,4,3,1,"6,437","3,158","3,279","6,103","2,988","3,115",40,25,15,38,19,19,190,98,92,7,4,3,59,24,35
Benton,53005,2010,70-74,"2,281",206,101,105,193,94,99,2,1,1,3,2,1,2,0,2,3,2,1,3,2,1,"4,522","2,180","2,342","4,290","2,063","2,227",26,16,10,25,10,15,129,67,62,4,1,3,48,23,25
Benton,53005,2010,75-79,"1,576",147,56,91,140,53,87,2,0,2,1,1,0,0,0,0,2,1,1,2,1,1,"3,399","1,520","1,879","3,261","1,461","1,800",17,7,10,15,6,9,77,33,44,1,1,0,28,12,16
Benton,53005,2010,80-84,"1,156",95,52,43,86,47,39,0,0,0,5,4,1,2,0,2,0,0,0,2,1,1,"2,652","1,104","1,548","2,591","1,078","1,513",7,2,5,5,3,2,41,15,26,0,0,0,8,6,2
Benton,53005,2010,85+,940,62,33,29,59,32,27,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,"2,716",907,"1,809","2,656",887,"1,769",8,3,5,9,4,5,30,7,23,0,0,0,13,6,7
Benton,53005,2010,Total,"87,486","32,696","16,750","15,946","30,232","15,514","14,718",473,231,242,708,370,338,270,124,146,99,57,42,914,454,460,"142,481","70,736","71,745","130,749","64,931","65,818","2,045","1,147",898,"1,291",670,621,"4,650","2,142","2,508",221,109,112,"3,525","1,737","1,788"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
