Area Name,Area ID,Year,Age Group,Male,Hispanic Total,Hispanic Male,Hispanic Female,Hispanic White Total,Hispanic White Male,Hispanic White Female,Hispanic Black Total,Hispanic Black Male,Hispanic Black Female,Hispanic AIAN Total,Hispanic AIAN Male,Hispanic AIAN Female,Hispanic Asian Total,Hispanic Asian Male,Hispanic Asian Female,Hispanic NHOPI Total,Hispanic NHOPI Male,Hispanic NHOPI Female,Hispanic Two or More Races Total,Hispanic Two or More Races Male,Hispanic Two or More Races Female,Non-Hispanic Total,Non-Hispanic Male,Non-Hispanic Female,Non-Hispanic White Total,Non-Hispanic White Male,Non-Hispanic White Female,Non-Hispanic Black Total,Non-Hispanic Black Male,Non-Hispanic Black Female,Non-Hispanic AIAN Total,Non-Hispanic AIAN Male,Non-Hispanic AIAN Female,Non-Hispanic Asian Total,Non-Hispanic Asian Male,Non-Hispanic Asian Female,Non-Hispanic NHOPI Total,Non-Hispanic NHOPI Male,Non-Hispanic NHOPI Female,Non-Hispanic Two or More Races Total,Non-Hispanic Two or More Races Male,Non-Hispanic Two or More Races Female
Mason,53045,2013,40-44,"1,939",288,185,104,235,154,80,5,1,4,39,23,16,3,0,3,1,1,0,5,5,0,"3,304","1,754","1,550","2,963","1,588","1,375",47,38,9,121,60,61,53,17,36,13,5,8,108,47,60
Mason,53045,2013,45-49,"1,984",199,125,74,159,103,56,4,3,1,26,13,13,0,0,0,1,0,1,9,6,3,"3,615","1,860","1,755","3,235","1,674","1,560",46,38,8,151,78,73,52,18,35,19,10,8,112,41,71
Mason,53045,2013,50-54,"2,314",174,94,80,143,76,67,4,1,3,20,12,8,1,0,1,1,1,0,6,5,1,"4,347","2,220","2,128","3,977","2,043","1,934",43,31,12,139,70,68,74,21,53,12,6,6,103,49,54
Mason,53045,2013,55-59,"2,462",131,63,68,105,52,53,0,0,0,12,5,7,2,1,1,2,2,0,9,3,7,"4,834","2,399","2,434","4,494","2,252","2,243",14,11,3,144,70,74,55,12,44,15,9,6,111,46,65
Mason,53045,2013,60-64,"2,367",100,58,42,81,47,34,1,1,0,10,8,3,5,2,2,0,0,0,3,0,3,"4,741","2,309","2,432","4,476","2,195","2,281",15,7,7,74,43,31,67,16,50,11,2,9,98,45,53
Mason,53045,2013,65-69,"2,087",90,50,40,72,37,35,0,0,0,7,6,1,3,1,1,1,0,1,7,6,1,"4,206","2,036","2,170","3,973","1,927","2,046",10,6,4,76,39,37,58,24,34,5,2,2,85,38,46
Mason,53045,2013,70-74,"1,589",42,27,15,37,21,15,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,"3,159","1,563","1,596","3,018","1,493","1,526",10,9,1,47,24,23,37,12,25,3,0,3,43,25,18
Mason,53045,2013,75-79,"1,101",25,17,8,22,14,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,"2,184","1,084","1,100","2,094","1,043","1,051",2,1,1,26,14,12,31,10,21,3,1,2,28,15,13
Mason,53045,2013,80-84,748,21,9,13,16,9,7,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,"1,528",739,789,"1,493",723,770,1,0,1,10,10,0,12,3,9,0,0,0,12,3,9
Mason,53045,2013,85+,554,11,1,10,10,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,331",552,779,"1,305",537,767,1,1,0,9,4,5,4,3,1,1,1,0,11,6,5
Mason,53045,2013,Total,"31,894","5,331","3,068","2,263","4,115","2,370","1,745",91,47,44,763,458,305,67,35,32,31,16,15,264,143,121,"56,469","28,826","27,643","50,779","25,909","24,871",618,467,151,"1,899","1,001",898,723,254,469,222,106,116,"2,228","1,090","1,138"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okanogan,53047,2013,0-4,"1,430","1,064",555,509,880,467,413,10,5,5,101,44,57,11,1,10,9,5,4,53,32,21,"1,683",874,809,"1,112",583,529,13,7,6,413,208,205,12,4,8,1,0,1,132,73,59
Okanogan,53047,2013,5-9,"1,401",927,484,443,783,414,369,2,0,2,94,46,48,9,7,1,5,0,5,34,16,18,"1,793",917,876,"1,298",668,631,10,5,5,351,172,179,12,7,5,3,1,1,118,64,54
Okanogan,53047,2013,10-14,"1,352",801,418,383,666,362,305,4,2,2,68,29,39,6,4,2,7,3,4,50,18,32,"1,812",934,878,"1,299",669,630,16,10,5,361,196,165,20,8,12,4,1,3,113,51,62
Okanogan,53047,2013,15-19,"1,242",747,403,344,629,342,287,9,6,4,71,33,39,4,3,2,10,7,2,22,12,10,"1,630",840,790,"1,189",626,563,12,4,8,327,159,168,17,11,7,4,3,1,81,36,45
Okanogan,53047,2013,20-24,"1,134",713,385,327,596,324,272,6,4,3,81,42,40,8,2,6,3,2,1,18,12,6,"1,468",749,720,"1,030",523,507,9,2,7,350,186,164,12,4,8,2,2,0,64,31,33
Okanogan,53047,2013,25-29,"1,016",592,331,261,491,274,217,6,4,2,67,40,27,4,3,1,7,2,4,17,8,9,"1,373",685,688,"1,009",493,516,10,8,2,280,141,139,8,5,4,2,1,1,64,38,26
Okanogan,53047,2013,30-34,"1,133",649,359,291,548,301,247,7,4,3,63,40,23,11,7,4,3,0,3,17,6,11,"1,563",774,789,"1,208",593,615,2,1,1,279,152,127,17,7,10,1,0,1,56,21,35
Okanogan,53047,2013,35-39,"1,094",528,298,230,465,267,198,9,4,4,39,16,22,10,6,4,2,2,0,4,3,1,"1,642",796,846,"1,294",626,668,4,3,1,281,143,137,17,3,14,1,1,0,45,19,26
Okanogan,53047,2013,40-44,"1,184",491,276,215,451,255,196,5,4,2,24,13,10,7,3,4,0,0,0,5,2,3,"1,843",908,935,"1,499",732,767,17,13,4,253,126,127,19,8,11,0,0,0,55,29,27
Okanogan,53047,2013,45-49,"1,227",356,207,149,330,190,139,1,0,1,15,10,5,4,4,0,3,1,2,4,2,2,"2,088","1,020","1,069","1,745",860,884,10,7,3,258,122,136,16,4,13,7,6,1,53,22,32
Okanogan,53047,2013,50-54,"1,481",320,184,137,289,164,124,6,5,1,12,5,6,1,1,0,9,6,3,4,2,2,"2,717","1,297","1,420","2,346","1,129","1,217",8,8,0,270,130,140,24,3,21,4,1,2,66,27,39
Okanogan,53047,2013,55-59,"1,626",203,105,98,173,91,82,1,0,1,12,6,5,0,0,0,1,0,1,17,8,9,"3,127","1,521","1,606","2,772","1,350","1,423",5,1,5,276,136,139,16,4,12,1,1,0,57,29,28
Okanogan,53047,2013,60-64,"1,666",140,87,53,118,73,46,2,0,2,13,10,3,2,0,2,0,0,0,6,5,1,"3,193","1,579","1,615","2,881","1,417","1,463",11,5,7,234,121,113,12,3,9,0,0,0,55,32,23
Okanogan,53047,2013,65-69,"1,469",98,58,40,90,56,35,0,0,0,2,1,1,0,0,0,0,0,0,5,1,4,"2,764","1,411","1,353","2,513","1,292","1,221",3,0,3,177,83,93,12,2,10,2,2,0,58,32,26
Okanogan,53047,2013,70-74,"1,086",82,48,34,69,41,28,0,0,0,6,4,2,2,2,0,0,0,0,5,1,3,"1,958","1,038",921,"1,800",956,844,3,3,0,125,67,58,12,1,11,0,0,0,19,10,8
Okanogan,53047,2013,75-79,703,33,21,12,33,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,342",682,660,"1,227",629,598,4,1,2,87,41,46,6,4,2,0,0,0,18,7,11
Okanogan,53047,2013,80-84,417,18,10,8,16,8,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,893,408,485,829,383,446,1,1,0,46,16,30,0,0,0,0,0,0,17,8,9
Okanogan,53047,2013,85+,322,11,8,3,8,7,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,837,314,523,786,295,491,1,1,0,39,12,27,0,0,0,0,0,0,10,5,5
Okanogan,53047,2013,Total,"20,983","7,773","4,237","3,536","6,635","3,655","2,980",68,37,31,671,341,330,79,45,34,57,28,29,263,130,133,"33,727","16,746","16,981","27,837","13,823","14,014",139,81,58,"4,405","2,212","2,193",233,77,156,32,20,12,"1,081",533,548
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pacific,53049,2013,0-4,516,234,125,109,190,102,88,20,12,8,13,8,5,1,1,0,2,0,2,9,2,7,734,391,343,620,329,291,5,4,1,16,9,7,23,11,12,1,1,0,68,37,31
Pacific,53049,2013,5-9,526,206,109,97,170,92,77,8,5,3,15,3,12,0,0,0,1,0,1,12,8,4,798,417,381,662,330,332,0,0,0,31,16,15,33,25,7,0,0,0,72,45,27
Pacific,53049,2013,10-14,506,182,99,83,158,88,70,6,2,4,10,5,5,0,0,0,0,0,0,8,4,4,807,407,401,679,334,345,6,3,4,38,21,18,17,9,8,0,0,0,66,40,26
Pacific,53049,2013,15-19,567,188,114,74,148,92,56,7,1,6,17,11,6,0,0,0,0,0,0,16,10,6,836,453,382,692,367,325,23,19,4,31,17,14,33,14,19,4,2,2,53,35,18
Pacific,53049,2013,20-24,514,193,105,88,147,80,67,12,7,5,19,11,8,1,1,0,2,2,0,13,5,8,770,409,361,670,342,328,7,5,1,23,16,6,35,23,12,1,0,1,34,23,11
Pacific,53049,2013,25-29,441,143,84,60,126,75,51,8,4,4,6,3,4,0,0,0,2,1,1,1,1,0,710,358,353,634,325,309,1,0,1,18,10,8,21,8,13,1,0,1,35,14,20
Pacific,53049,2013,30-34,523,164,103,61,135,84,51,5,2,3,16,11,5,1,0,1,0,0,0,7,6,1,800,420,381,714,377,337,3,2,1,25,12,14,30,13,17,0,0,0,28,16,12
Pacific,53049,2013,35-39,444,109,58,51,98,54,44,2,1,1,2,1,1,1,1,0,0,0,0,6,1,4,767,385,381,692,356,336,2,0,2,21,11,10,26,7,18,0,0,0,25,11,14
Pacific,53049,2013,40-44,517,101,53,48,75,43,32,3,1,2,13,7,6,0,0,0,0,0,0,11,3,8,927,464,463,843,419,424,1,1,0,30,18,12,25,11,14,0,0,0,27,15,12
Pacific,53049,2013,45-49,607,83,47,36,70,43,28,3,1,1,4,0,4,1,0,1,0,0,0,5,3,2,"1,099",560,539,992,506,487,5,1,3,36,17,19,38,20,18,2,1,1,26,15,11
Pacific,53049,2013,50-54,740,69,43,26,58,35,23,4,3,1,3,3,0,2,2,0,0,0,0,1,0,1,"1,433",697,736,"1,326",638,689,6,4,3,24,8,16,38,20,18,2,0,2,36,27,9
Pacific,53049,2013,55-59,909,47,24,24,35,17,18,0,0,0,11,5,6,0,0,0,0,0,0,1,1,0,"1,828",885,943,"1,715",837,879,5,3,2,38,15,22,38,19,19,2,1,1,30,11,20
Pacific,53049,2013,60-64,"1,005",33,22,11,25,15,10,0,0,0,7,6,1,0,0,0,0,0,0,2,2,0,"2,036",983,"1,054","1,935",943,992,4,3,1,32,11,21,30,13,17,0,0,0,35,13,22
Pacific,53049,2013,65-69,974,31,13,17,26,13,13,0,0,0,3,0,3,0,0,0,0,0,0,2,0,2,"1,933",960,973,"1,840",916,925,4,3,1,22,15,7,25,7,17,1,0,1,41,19,22
Pacific,53049,2013,70-74,726,17,10,7,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,410",715,695,"1,361",692,670,0,0,0,16,10,6,12,6,6,0,0,0,21,8,13
Pacific,53049,2013,75-79,471,11,8,4,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,948,463,485,919,453,466,0,0,0,6,0,6,7,3,3,0,0,0,16,7,9
Pacific,53049,2013,80-84,328,12,6,6,9,6,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,672,323,349,652,318,334,0,0,0,4,1,3,3,0,3,0,0,0,12,3,9
Pacific,53049,2013,85+,276,8,6,2,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,270,389,637,259,377,3,0,3,5,3,2,7,4,3,0,0,0,8,4,4
Pacific,53049,2013,Total,"10,588","1,833","1,029",804,"1,505",861,644,78,38,40,139,74,65,7,5,2,7,3,4,97,48,49,"19,167","9,560","9,607","17,585","8,740","8,845",76,47,29,418,210,208,441,214,227,14,5,9,633,343,290
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pend Oreille,53051,2013,0-4,311,48,20,28,34,16,18,0,0,0,5,0,5,0,0,0,0,0,0,10,4,5,579,291,288,499,245,253,9,5,4,38,27,11,3,2,1,0,0,0,31,12,19
Pend Oreille,53051,2013,5-9,360,42,24,18,29,14,15,0,0,0,5,5,0,0,0,0,0,0,0,8,5,3,652,336,316,562,276,286,4,2,2,47,31,16,2,1,1,0,0,0,37,26,11
Pend Oreille,53051,2013,10-14,425,42,25,17,28,16,11,1,0,1,2,2,0,0,0,0,0,0,0,12,7,5,764,400,364,655,344,310,3,3,0,61,30,31,4,2,2,4,1,3,38,20,18
Pend Oreille,53051,2013,15-19,405,42,21,21,30,17,12,0,0,0,3,1,2,0,0,0,0,0,0,10,3,7,748,384,363,680,349,332,12,7,5,32,17,15,4,2,2,2,1,1,18,9,9
Pend Oreille,53051,2013,20-24,309,39,20,18,20,10,11,0,0,0,10,5,5,0,0,0,0,0,0,8,5,3,564,288,276,506,261,244,3,1,1,30,15,15,8,1,6,0,0,0,18,10,8
Pend Oreille,53051,2013,25-29,246,12,3,8,10,2,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,480,243,238,418,219,199,3,1,2,35,17,18,4,1,3,0,0,0,20,4,15
Pend Oreille,53051,2013,30-34,276,21,6,15,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,540,270,270,466,238,228,3,1,2,40,18,22,1,1,0,2,1,1,27,10,17
Pend Oreille,53051,2013,35-39,308,26,10,16,19,8,11,0,0,0,2,1,1,0,0,0,0,0,0,5,1,3,579,298,280,531,269,262,9,8,1,22,12,10,5,1,4,2,1,1,10,7,3
Pend Oreille,53051,2013,40-44,373,19,8,11,15,7,9,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,698,365,332,640,336,305,4,3,1,28,16,12,8,1,7,0,0,0,17,10,8
Pend Oreille,53051,2013,45-49,429,21,11,10,18,8,10,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,832,418,414,774,387,386,0,0,0,32,19,13,8,5,4,0,0,0,19,8,11
Pend Oreille,53051,2013,50-54,534,30,14,16,23,12,11,1,0,1,2,0,2,0,0,0,0,0,0,4,3,1,"1,047",520,527,973,488,485,2,1,1,42,18,24,11,3,8,0,0,0,20,10,10
Pend Oreille,53051,2013,55-59,614,25,13,11,22,13,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,"1,195",600,595,"1,131",571,560,2,1,1,26,13,12,5,3,2,3,1,2,28,12,16
Pend Oreille,53051,2013,60-64,625,29,19,10,25,15,10,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,"1,181",605,576,"1,141",590,551,3,3,0,21,9,12,3,0,3,2,1,1,11,2,8
Pend Oreille,53051,2013,65-69,555,9,7,3,7,4,3,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,"1,066",548,517,"1,023",529,494,3,1,1,15,8,7,2,0,2,0,0,0,23,10,13
Pend Oreille,53051,2013,70-74,385,8,2,6,7,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,731,383,348,714,378,336,0,0,0,6,1,4,2,1,1,1,1,0,7,1,6
Pend Oreille,53051,2013,75-79,247,4,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,244,240,474,238,237,0,0,0,5,2,3,4,3,1,0,0,0,1,1,0
Pend Oreille,53051,2013,80-84,149,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,146,156,294,143,151,1,0,1,0,0,0,3,0,3,0,0,0,4,3,1
Pend Oreille,53051,2013,85+,107,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,104,179,277,100,177,0,0,0,4,3,1,0,0,0,0,0,0,1,1,0
Pend Oreille,53051,2013,Total,"6,659",426,213,213,317,156,161,3,1,2,37,20,17,0,0,0,0,0,0,69,36,33,"12,724","6,446","6,278","11,759","5,962","5,797",62,38,24,483,256,227,76,26,50,16,7,9,328,156,172
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Pierce,53053,2013,0-4,"28,570","10,459","5,200","5,259","7,335","3,667","3,668",642,316,326,469,238,231,227,115,111,126,70,56,"1,661",794,866,"45,659","23,370","22,289","30,216","15,375","14,840","3,677","1,929","1,748",580,301,278,"2,272","1,159","1,113","1,060",531,529,"7,856","4,074","3,781"
Pierce,53053,2013,5-9,"28,171","9,157","4,654","4,502","6,592","3,324","3,269",516,257,259,422,210,211,219,114,105,100,55,45,"1,308",696,613,"45,725","23,516","22,209","30,572","15,767","14,805","3,634","1,863","1,772",703,361,342,"2,803","1,370","1,433",945,466,479,"7,068","3,689","3,379"
Pierce,53053,2013,10-14,"27,655","7,915","3,997","3,918","5,638","2,844","2,794",472,254,218,365,192,172,193,94,99,77,34,42,"1,170",578,592,"46,251","23,658","22,594","31,587","16,192","15,396","3,875","1,999","1,877",681,387,295,"2,695","1,368","1,328",926,479,447,"6,487","3,234","3,253"
Pierce,53053,2013,15-19,"26,049","6,360","3,266","3,094","4,656","2,372","2,284",403,222,181,328,162,166,174,90,84,88,47,41,710,372,339,"44,353","22,783","21,569","31,094","15,948","15,145","3,825","1,994","1,831",723,353,370,"2,830","1,443","1,388",907,482,425,"4,974","2,564","2,410"
Pierce,53053,2013,20-24,"30,160","7,635","4,044","3,591","5,713","3,073","2,641",558,271,287,391,214,177,182,95,87,104,57,47,687,334,353,"51,961","26,116","25,846","37,957","19,235","18,721","4,724","2,517","2,207",788,381,407,"3,343","1,613","1,730","1,211",555,656,"3,938","1,814","2,124"
Pierce,53053,2013,25-29,"29,300","7,601","3,976","3,625","5,845","3,100","2,746",449,224,225,405,224,181,180,89,91,97,54,43,625,285,340,"51,236","25,324","25,912","38,008","18,977","19,031","4,335","2,298","2,037",700,316,385,"3,439","1,538","1,901","1,045",488,556,"3,709","1,706","2,002"
Pierce,53053,2013,30-34,"28,524","7,367","3,873","3,494","5,761","3,065","2,696",401,198,203,329,182,147,171,88,83,77,35,41,629,305,324,"50,086","24,651","25,435","37,775","18,763","19,012","4,105","2,211","1,894",711,329,382,"3,375","1,434","1,941",914,420,494,"3,207","1,494","1,713"
Pierce,53053,2013,35-39,"25,625","5,610","2,925","2,685","4,442","2,355","2,087",316,147,169,267,146,121,165,71,94,51,29,22,369,177,192,"46,059","22,699","23,359","34,943","17,310","17,633","3,666","2,006","1,661",602,300,302,"3,711","1,620","2,091",801,393,408,"2,335","1,071","1,265"
Pierce,53053,2013,40-44,"27,657","4,587","2,442","2,146","3,741","2,007","1,735",246,117,128,213,117,95,121,55,65,34,16,18,234,129,105,"50,928","25,215","25,713","39,886","19,829","20,056","4,057","2,232","1,825",659,300,360,"3,703","1,608","2,095",672,336,336,"1,951",910,"1,040"
Pierce,53053,2013,45-49,"27,768","3,470","1,854","1,617","2,752","1,501","1,251",174,81,93,184,96,88,104,54,51,34,15,19,222,107,115,"52,015","25,915","26,101","41,404","20,849","20,555","4,041","2,172","1,869",673,322,351,"3,460","1,422","2,038",601,293,308,"1,837",856,980
Pierce,53053,2013,50-54,"29,650","2,925","1,472","1,453","2,328","1,190","1,138",175,87,88,160,86,74,90,38,51,23,10,12,149,60,89,"56,792","28,178","28,614","45,728","22,940","22,788","4,226","2,363","1,862",667,297,370,"3,821","1,415","2,406",589,277,313,"1,761",886,875
Pierce,53053,2013,55-59,"26,944","2,116","1,064","1,052","1,680",853,827,120,61,59,113,63,51,60,21,39,12,6,6,131,61,70,"52,986","25,880","27,106","43,592","21,486","22,107","3,263","1,839","1,424",668,339,329,"3,719","1,364","2,356",452,221,231,"1,291",632,659
Pierce,53053,2013,60-64,"22,168","1,446",730,717,"1,181",598,583,66,31,34,80,45,35,31,14,17,12,8,3,77,33,44,"44,361","21,439","22,922","37,575","18,457","19,118","2,142","1,093","1,048",474,240,234,"3,043","1,121","1,923",324,166,158,803,361,442
Pierce,53053,2013,65-69,"16,720",958,433,525,801,370,431,20,10,10,45,21,25,24,8,17,11,4,7,57,21,36,"34,232","16,287","17,946","29,441","14,234","15,207","1,539",843,696,305,138,167,"2,254",762,"1,492",171,91,80,523,218,305
Pierce,53053,2013,70-74,"10,882",558,270,288,465,225,240,29,12,17,25,14,10,10,3,8,1,0,1,28,16,12,"22,689","10,613","12,076","19,282","9,209","10,074",983,491,492,181,79,103,"1,743",610,"1,132",167,81,86,332,143,189
Pierce,53053,2013,75-79,"7,314",386,186,200,332,167,166,11,5,5,15,7,9,5,1,4,2,1,1,20,5,15,"15,932","7,128","8,804","13,606","6,300","7,306",682,325,357,97,33,64,"1,266",348,918,68,35,33,212,87,125
Pierce,53053,2013,80-84,"5,056",234,100,134,194,82,112,10,4,5,8,2,6,7,3,4,1,0,1,13,8,5,"11,925","4,956","6,968","10,431","4,435","5,996",456,212,244,48,21,27,830,206,625,35,19,15,125,64,62
Pierce,53053,2013,85+,"4,238",188,65,122,160,55,105,5,4,1,4,0,4,6,0,6,5,4,1,8,3,5,"12,338","4,173","8,165","11,311","3,846","7,465",305,123,182,43,11,33,536,152,384,23,8,15,120,34,86
Pierce,53053,2013,Total,"402,451","78,972","40,551","38,421","59,618","30,847","28,771","4,611","2,303","2,308","3,824","2,021","1,803","1,970",954,"1,016",852,444,408,"8,097","3,982","4,115","735,528","361,900","373,628","564,408","279,152","285,256","53,534","28,511","25,023","9,304","4,505","4,799","48,844","20,552","28,292","10,911","5,343","5,568","48,527","23,837","24,690"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
San Juan,53055,2013,0-4,218,95,51,44,80,44,36,3,1,2,3,1,2,0,0,0,0,0,0,9,5,4,363,167,196,325,148,177,4,1,3,4,2,2,3,1,3,0,0,0,27,15,11
San Juan,53055,2013,5-9,291,89,44,45,75,36,39,1,1,0,9,4,4,1,0,1,0,0,0,3,2,1,520,247,272,465,218,246,5,5,0,5,5,0,11,1,10,0,0,0,34,18,16
San Juan,53055,2013,10-14,373,74,33,41,66,29,37,2,1,1,1,0,1,1,1,0,0,0,0,4,1,3,678,340,339,620,314,306,4,1,3,4,2,2,13,4,9,1,0,1,36,18,18
San Juan,53055,2013,15-19,370,75,37,38,72,36,36,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,657,333,324,593,309,284,4,2,2,6,2,5,22,9,14,1,0,1,29,12,17
San Juan,53055,2013,20-24,294,92,59,33,81,51,29,1,1,0,4,4,0,0,0,0,1,0,1,6,3,3,496,235,261,453,220,232,2,2,0,5,0,5,12,5,7,4,0,4,20,7,12
San Juan,53055,2013,25-29,258,78,33,45,64,28,36,3,1,2,8,2,5,0,0,0,0,0,0,3,1,2,472,225,247,437,214,224,5,3,2,6,1,5,8,1,7,1,0,1,15,6,9
San Juan,53055,2013,30-34,330,118,67,51,101,55,46,1,1,0,10,6,4,1,1,0,0,0,0,5,4,1,569,263,306,533,252,282,4,1,3,3,2,1,10,0,10,2,1,1,17,8,10
San Juan,53055,2013,35-39,371,73,41,32,62,36,26,1,0,1,5,3,1,1,0,1,0,0,0,4,1,2,638,330,308,594,309,285,1,1,0,5,1,4,12,3,9,1,0,1,25,17,9
San Juan,53055,2013,40-44,424,56,32,25,54,30,24,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,799,392,407,756,372,385,1,1,0,5,1,4,15,7,8,3,2,1,19,10,9
San Juan,53055,2013,45-49,468,44,21,23,39,19,21,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,915,447,468,865,416,449,6,5,1,8,4,3,15,4,10,2,1,1,20,16,4
San Juan,53055,2013,50-54,603,53,19,33,52,19,32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,237",583,653,"1,188",562,626,5,3,2,9,5,4,11,4,7,0,0,0,23,10,14
San Juan,53055,2013,55-59,756,28,16,11,22,12,10,0,0,0,0,0,0,2,1,1,0,0,0,3,3,0,"1,569",739,830,"1,514",718,797,6,2,4,7,2,5,15,2,13,0,0,0,27,16,11
San Juan,53055,2013,60-64,853,30,13,17,25,8,17,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,"1,767",840,927,"1,727",822,905,0,0,0,4,2,2,9,2,7,0,0,0,27,15,12
San Juan,53055,2013,65-69,815,29,18,10,27,18,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,"1,629",797,832,"1,593",784,809,0,0,0,7,6,1,13,5,8,0,0,0,15,3,13
San Juan,53055,2013,70-74,578,15,11,4,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,113",567,546,"1,094",557,537,4,3,1,1,0,1,8,3,6,0,0,0,6,4,2
San Juan,53055,2013,75-79,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687,347,340,667,341,327,2,0,2,2,1,1,13,4,9,0,0,0,3,2,1
San Juan,53055,2013,80-84,229,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,228,230,453,226,227,0,0,0,0,0,0,1,0,1,0,0,0,3,1,1
San Juan,53055,2013,85+,205,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,205,275,473,203,270,0,0,0,2,0,2,4,1,2,0,0,0,1,0,1
San Juan,53055,2013,Total,"7,780",952,495,457,839,435,404,13,7,6,49,28,21,7,3,4,1,0,1,43,22,21,"15,048","7,286","7,762","14,352","6,984","7,368",54,30,24,82,35,47,197,55,142,15,4,11,348,178,170
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Skagit,53057,2013,0-4,"3,672","2,701","1,331","1,370","2,334","1,139","1,196",49,29,20,158,78,80,17,11,6,21,12,9,122,62,60,"4,604","2,341","2,263","3,979","2,008","1,971",35,17,18,148,64,84,97,48,49,11,6,5,335,198,137
Skagit,53057,2013,5-9,"3,840","2,581","1,223","1,358","2,211","1,061","1,150",51,25,26,153,58,95,20,11,9,13,4,10,133,65,68,"5,019","2,616","2,403","4,322","2,270","2,052",58,33,25,159,74,85,119,61,58,17,11,6,345,168,176
Skagit,53057,2013,10-14,"3,859","2,277","1,135","1,142","2,016",998,"1,018",22,13,10,129,67,62,14,8,5,11,4,7,85,45,40,"5,342","2,724","2,618","4,635","2,348","2,287",57,25,32,208,111,97,122,62,60,14,8,6,305,169,136
Skagit,53057,2013,15-19,"3,672","1,947","1,002",945,"1,669",854,815,29,18,11,131,74,57,20,10,10,12,4,7,88,43,45,"5,205","2,670","2,535","4,554","2,328","2,226",68,39,29,147,78,69,150,85,65,20,14,6,266,126,140
Skagit,53057,2013,20-24,"3,823","2,072","1,095",977,"1,815",973,842,37,17,20,120,61,59,19,6,13,11,6,6,69,33,37,"5,405","2,728","2,677","4,746","2,407","2,339",82,48,34,155,77,77,176,88,88,23,9,14,222,98,125
Skagit,53057,2013,25-29,"3,722","1,929","1,022",908,"1,682",894,787,41,23,18,102,46,56,22,15,7,3,2,1,80,42,37,"5,315","2,700","2,615","4,797","2,452","2,345",68,48,20,131,60,71,134,58,76,21,12,9,165,71,93
